name,nationality,birth_date,height,hand,rank,position,prize_money_year,prize_money_total,residence,birthplace,best_rank
Laurent Rochette,FRA,5 Feb 1988,1.8,Right-Handed,23,762,215 €,164.7K €,"Bordeaux, France","Bordeaux, France",202 in 08/10/2012
Andres Zepeda,,,,,,,,,,,
Raymond Sarmiento,USA,24 Jul 1992,1.78,Right-Handed,98,401,8.2K €,86K €,"Los Angeles, CA, USA","Glendale, USA",287 in 11/09/2017
Robin Haase,NED,6 Apr 1987,1.91,Right-Handed,330,197,27.2K €,6.2M €,"Turnhout, Belgium","The Hague, The Netherlands",33 in 30/07/2012
Niklas Guttau,,3 Jan 2000,1.78,Left-Handed,14,920,130 €,9.4K €,Lübeck,Lübeck,877 in 13/01/2020
Denis Bejtulahi,,,,,,,,,,,
Yann Marti,SUI,7 Jun 1988,1.73,Right-Handed,4,1268,130 €,139.3K €,"Venthone, Switzerland","Sierre, Switzerland",
Neal Skupski,,,,,,,,,,,
Nikita-Girey Demir,,,,,,,,,,,
Jan Hajek,CZE,7 Aug 1983,1.8,Right-Handed,,,,1.2M €,"Olomouc, Czech Republic","Olomouc, Czech Republic",
Tim Nekic,,,,,,,,,,,
Yunseong Chung,KOR,27 Mar 1998,1.78,Right-Handed,116,354,1.4K €,96K €,"Yongin, South Korea","Seoul, South Korea",233 in 22/07/2019
Juan Sebastian Gomez,COL,5 Mar 1992,,,36,632,,71.4K €,,,469 in 05/10/2015
Marius Copil,ROU,17 Oct 1990,1.93,Right-Handed,277,215,23K €,2.1M €,"Arad, Romania","Arad, Romania",56 in 28/01/2019
Takanyi Garanganga,ZIM,6 Sep 1990,1.85,Right-Handed,51,560,390 €,108.6K €,"Atlanta, GA","Harare, Zimbabwe",288 in 22/09/2014
Su Hao Zhong,CHN,19 Mar 1997,,Right-Handed,,,,10.1K €,,,
Steffen Zornosa,,,,,,,,,,,
Mikhail Kukushkin,KAZ,26 Dec 1987,1.83,Right-Handed,776,89,356K €,5.1M €,"Astana, Kazakhstan","Volgograd, Russia",39 in 25/02/2019
Rameez Junaid,,,,,,,,,,,
Teri Groll,,,,,,,,,,,
N. Vijay Sundar Prashanth,IND,27 Oct 1986,1.78,Right-Handed,4,1319,,101.1K €,"Chennai, India","Chennai, India",335 in 05/10/2015
Romain Barbosa,BEL,17 Apr 1994,1.83,Right-Handed,4,1246,,51.7K €,Namur,"Sambreville, Belgium",403 in 02/05/2016
Jordan Thompson,AUS,20 Apr 1994,1.83,Right-Handed,1068,51,418.3K €,2.3M €,"Sydney, Australia","Sydney, Australia",43 in 15/07/2019
Roberto Marcora,ITA,30 Aug 1989,1.93,Right-Handed,352,180,51.5K €,245.5K €,"Busto Arsizio, Italy","Busto Arsizio, Italy",150 in 17/02/2020
João Souza,BRA,27 May 1988,1.93,Right-Handed,10,997,,1.1M €,"Rio de Janeiro, Brazil","Mogi das Cruzes, Brazil",69 in 06/04/2015
Alessandro Petrone,ITA,23 Dec 1990,,,25,744,1K €,57.9K €,,,397 in 08/10/2018
Andrej Martin,SVK,20 Sep 1989,1.83,Right-Handed,724,100,143.1K €,892K €,"Bratislava, Slovak Republic","Bratislava, Slovakia",93 in 10/02/2020
Gleb Alekseenko,,,,,,,,,,,
Philipp Kohlschreiber,GER,16 Oct 1983,1.78,Right-Handed,729,97,269.9K €,10.9M €,"Kitzbuhel, Austria","Augsburg, Germany",16 in 30/07/2012
Rinky Hijikata,AUS,23 Feb 2001,1.78,Right-Handed,31,679,19.5K €,36.7K €,"Sydney, Australia",Sydney,643 in 17/02/2020
Woo C.,,,,,,,,,,,
Gleb Sakharov,FRA,10 Jun 1988,1.85,Right-Handed,43,596,2.7K €,289.5K €,"Nantes, France","Tashkent, Uzbekistan",153 in 08/01/2018
Stefan Lindmark,,,,,,,,,,,
Jan-Lennard Struff,GER,25 Apr 1990,1.93,Right-Handed,1450,36,493.3K €,5M €,"Warstein, Germany","Warstein, Germany",29 in 31/08/2020
Nathan Rakitt,,,,,,,,,,,
Mackenzie Mcdonald,USA,16 Apr 1995,1.78,Right-Handed,335,193,151.5K €,1.2M €,"Orlando, FL, USA","Piedmont, CA, USA",57 in 29/04/2019
Elias Ymer,SWE,10 Apr 1996,1.83,Right-Handed,309,204,28.5K €,822.5K €,"Stockholm, Sweden","Skara, Sweden",105 in 11/06/2018
Jozef Kovalík,SVK,4 Nov 1992,1.83,Right-Handed,491,131,137.8K €,1M €,"Bratislava, Slovakia","Bratislava, Slovakia",80 in 22/10/2018
Lucas Miedler,AUT,21 Jun 1996,1.83,Right-Handed,150,306,5.2K €,202.7K €,"Tulln, Austria","Tulln, Austria",201 in 15/10/2018
Roberto Quiroz,ECU,23 Feb 1992,1.93,Left-Handed,166,295,5.3K €,260.8K €,"Guayaquil, Ecuador","Guayaquil, Ecuador",172 in 18/03/2019
Dayne Kelly,AUS,23 Jul 1990,,Right-Handed,124,342,3K €,154K €,,,252 in 23/10/2017
Johan Nikles,SUI,23 Mar 1997,1.7,Right-Handed,61,524,1.7K €,57.7K €,Geneva,Geneva,457 in 11/11/2019
Yuuya Kibi,JPN,23 Jul 1986,1.8,Right-Handed,,,,81.2K €,"Osaka, Japan","Osaka, Japan",
Shuichi Sekiguchi,JPN,15 Jul 1991,1.68,Right-Handed,174,288,2.9K €,150.5K €,"Kanagawa, Japan","San Francisco, CA, USA",259 in 05/05/2014
Kirill Kivattsev,RUS,10 Oct 1997,1.93,Right-Handed,29,704,215 €,28.9K €,Russian Federation,"Volgograd, Russia",479 in 27/05/2019
Juan Carlos Spir,,,,,,,,,,,
David Estruch Mano,,,,,,,,,,,
Danai Udomchoke,THA,11 Aug 1981,1.73,Right-Handed,,,,912.6K €,"Bangkok, Thailand","Bangkok, Thailand",
Evgeny Elistratov,RUS,28 Dec 1994,1.93,Right-Handed,,,,24K €,"Moscow, Russia","Khabarovsk, Russia",
Ulises Blanch,USA,25 Mar 1998,1.88,Right-Handed,224,241,65.3K €,122.7K €,"Orlando, FL, USA","San Juan, Puerto Rico",240 in 09/03/2020
Australia,,,,,,,,,,,
Jacob Grills,AUS,18 Jun 1995,,Right-Handed,69,494,1.8K €,76K €,,,368 in 05/08/2019
Michael Geerts,BEL,17 Jan 1995,1.78,Right-Handed,104,385,608 €,59.1K €,"Antwerp, Belgium","Antwerp, Belgium",347 in 02/12/2019
Roman Jebavý,,,,,,,,,,,
Lleyton Hewitt,AUS,24 Feb 1981,1.78,Right-Handed,,,,17.4M €,"Melbourne, Australia","Adelaide, Australia",
Leandro Riedi,SUI,27 Jan 2002,1.91,Right-Handed,15,885,3.8K €,4K €,,Frauenfeld,939 in 28/09/2020
Juan Espinel,,,,,,,,,,,
Nikolay Davydenko,,,,,,,,,,,
Evan Furness,FRA,13 Aug 1998,1.7,Right-Handed,78,458,4K €,58K €,"Pontivy, France","Pontivy, France",391 in 05/08/2019
Ruben Bemelmans,BEL,14 Jan 1988,1.83,Left-Handed,253,227,12.5K €,1.7M €,"Maasmechelen, Belgium","Genk, Belgium",84 in 28/09/2015
Danny Thomas,USA,22 Nov 1999,1.83,Left-Handed,,,,28.9K €,"Wesley Chapel, FL, USA","Tuscaloosa, AL, USA",
Michael Russell,USA,1 May 1978,1.73,Right-Handed,,,,2M €,"Houston, TX, USA","Detroit, MI, USA",
Matej Sabanov,CRO,25 Jun 1992,1.8,Right-Handed,14,905,,71.4K €,"Osijek, Croatia","Subotica, Serbia",640 in 20/10/2014
Jacob Kahoun,,,,,,,,,,,
García-López Guillermo,ESP,4 Jun 1983,1.85,Right-Handed,258,220,29.6K €,7M €,"La Roda Albacete, Spain","La Roda (Albacete), Spain",23 in 21/02/2011
Stephan Hoiss,,,,,,,,,,,
Lucas Gomez,MEX,11 Aug 1995,1.78,Left-Handed,10,1017,3.4K €,106.6K €,"Tijuana, Mexico","Tijuana, Mexico",463 in 04/04/2016
Fabricio Neis,BRA,15 Jun 1990,1.83,Left-Handed,,,,115.6K €,Porto Alegre,Porto Alegre,
Kyrian Jacquet,FRA,11 May 2001,1.75,Right-Handed,60,532,2.3K €,12.1K €,FRANCE,Lyon,514 in 03/02/2020
Sam Taylor,SWE,3 Jul 1997,1.85,Right-Handed,4,1310,260 €,8.1K €,"Gothenburg, Sweden","Gothenburg, Sweden",1277 in 17/02/2020
Miliaan Niesten,,27 Jun 1988,1.83,Left-Handed,5,1196,3.6K €,63.8K €,"Eindhoven, The Netherlands","Greenville, TN, USA",431 in 29/04/2013
Hans Podlipnik-Castillo,CHI,9 Jan 1988,1.83,Right-Handed,,,,449.7K €,"Santiago, Chile","Santiago, Chile",
Deivids Juksa,,,,,,,,,,,
Isak Arvidsson,SWE,6 Aug 1992,1.88,Right-Handed,,,,62.9K €,"Båstad, Sweden",Hjo,
Dane Sweeny,AUS,12 Feb 2001,1.7,Right-Handed,22,780,2.1K €,8.6K €,Sunshine Coast,Penrith,761 in 24/08/2020
Ryan Haviland,USA,12 Dec 1980,1.88,Right-Handed,,,,23.3K €,"Greenville, SC, USA","St Louis, MO, USA",
José Hernández-Fernández,DOM,13 Mar 1990,1.83,Right-Handed,142,314,922 €,196.1K €,Santo Domingo,Santo Domingo,179 in 03/08/2015
Patrick Kypson,USA,28 Oct 1999,1.88,Right-Handed,32,667,3.1K €,73.3K €,"Raleigh, NC, USA","Durham, NC, USA",449 in 18/02/2019
Colton Gromley,,,,,,,,,,,
Ričardas Berankis,LTU,21 Jun 1990,1.75,Right-Handed,889,69,299.8K €,2.9M €,"Vilnius, Lithuania","Vilnius, Lithuania",50 in 23/05/2016
Benjamin Sigouin,CAN,3 Jun 1999,1.91,Right-Handed,38,621,,33.4K €,"Vancouver, BC, Canada","Vancouver, Canada",523 in 15/07/2019
Zhe Li,CHN,20 Sep 1986,1.85,Right-Handed,248,233,34.8K €,594.4K €,"Tianjin, China","Tianjin, China",193 in 11/11/2019
Giovanni Fonio,ITA,7 May 1998,1.83,Right-Handed,54,549,2.6K €,37.9K €,Novara,Novara,497 in 15/04/2019
Rodrigo Echavarria,COL,10 Dec 1996,,,3,1366,,2.3K €,,,1327 in 17/02/2020
Michael Venus,,,,,,,,,,,
Jarmere Jenkins,USA,25 Nov 1990,1.83,Right-Handed,,,,121.4K €,"Cocnut Creek, FL, USA","College Park, GA, USA",
Hugo Nys,MON,16 Feb 1991,1.85,Right-Handed,73,471,433 €,390.7K €,"Monte Carlo, Monaco","Evian-les-Bains, France",327 in 29/07/2019
Max De Vroome,,,,,,,,,,,
Niki Kaliyanda Poonacha,IND,27 Apr 1995,1.88,Right-Handed,18,834,2.4K €,24.9K €,"Anantapur, India","Neyveli, India",605 in 14/01/2019
Sebastian Sachs,,,,,,,,,,,
Fritz Wolmarans,RSA,7 Mar 1986,,Right-Handed,,,,143.7K €,,,
Martin Emmrich,,,,,,,,,,,
Eric Butorac,,,,,,,,,,,
Ryan Sweeting,,,,,,,,,,,
Jack Sock,USA,24 Sep 1992,1.91,Right-Handed,217,253,108K €,8.9M €,"Kansas City, KS, USA","Lincoln, NE, USA",8 in 20/11/2017
Ayoub Chakrouni,,,,,,,,,,,
Abdullah Shannan Alharrasi,,,,,,,,,,,
Juan Manuel Cerundolo,ARG,15 Nov 2001,1.83,Left-Handed,126,339,8.1K €,28.3K €,Buenos Aires,Buenos Aires,342 in 28/09/2020
Paul Jubb,GBR,31 Oct 1999,1.8,Right-Handed,58,536,,74.6K €,United States,"York, England",427 in 22/07/2019
Morgan Johansson,,,,,,,,,,,
Anton Zaitcev,RUS,22 Jul 1987,1.8,Right-Handed,,,,60.4K €,"Moscow, Russia","Izmail, Ukraine",
Jérémy Chardy,FRA,12 Feb 1987,1.88,Right-Handed,860,75,198.8K €,8.2M €,"London, England","Pau, France",25 in 28/01/2013
Roy Sarut De Valk,NED,30 Dec 1991,1.85,Right-Handed,,,,14.8K €,"Zoetermeer, Netherlands","Bangkok, Thailand",
Brayden Schnur,CAN,4 Jul 1995,1.93,Right-Handed,301,208,50.3K €,498.1K €,"Montreal, Canada","Toronto, Canada",92 in 19/08/2019
Rhett Purcell,NZL,6 Feb 1996,1.91,Right-Handed,15,902,1.9K €,29.9K €,New Zealand,"Gisborne, New Zealand",749 in 10/09/2018
Luca Margaroli,SUI,15 Feb 1992,1.83,Right-Handed,,,,96.7K €,"Ponte Capriasca, Switzerland","Brescia, Italy",
Antoine Hoang,FRA,4 Nov 1995,1.83,Right-Handed,550,121,35.6K €,515.1K €,Toulon,"Hyeres, France",98 in 19/08/2019
Lennart Zynga,,,,,,,,,,,
Ruben Ramirez Hidalgo,ESP,6 Jan 1978,1.83,Right-Handed,,,,2M €,"Alicante, Spain","Alicante, Spain",
Mario Vilella Martínez,ESP,3 Jul 1995,1.78,Right-Handed,339,191,64.7K €,211.1K €,"Elche , Spain","Elche, Spain",170 in 31/08/2020
Hao Sheng Koay,,,,,,,,,,,
Christian Mohs,,,,,,,,,,,
Andre Ghem,BRA,29 May 1982,1.93,Right-Handed,,,,445.4K €,"Novo Hamburgo, Brazil","Porto Alegre, Brazil",
David Goffin,BEL,7 Dec 1990,1.8,Right-Handed,2555,15,786K €,12.1M €,"Monte Carlo, Monaco","Rocourt, Belgium",7 in 20/11/2017
Yosuke Watanuki,JPN,12 Apr 1998,1.8,Right-Handed,219,250,8.2K €,191.4K €,"Saitama, Japan","Saitama, Japan",171 in 18/03/2019
Lorenzo Giustino,ITA,10 Sep 1991,1.8,Right-Handed,426,149,62.3K €,414.2K €,"Naples, Italy","Naples, Italy",127 in 12/08/2019
Rudolf Molleker,GER,26 Oct 2000,1.85,Right-Handed,273,217,3.9K €,288.8K €,Germany,"Severodonetsk, Ukraine",146 in 29/07/2019
Yusuke Takahashi,JPN,17 Oct 1997,1.7,Right-Handed,85,435,2.4K €,95.1K €,"Kanagawa, Japan","Kanagawa, Japan",238 in 07/08/2017
Marko Miladinović,SRB,7 Dec 2000,1.8,Right-Handed,69,492,643 €,23.5K €,"Belgrade, Serbia","Belgrade, Serbia",451 in 13/01/2020
Michael Shabaz,USA,20 Aug 1987,,Right-Handed,10,1006,217 €,56.3K €,"Southern California, USA","Virginia, USA",394 in 23/12/2013
Fabiano De Paula,BRA,28 Nov 1988,1.78,Right-Handed,3,1334,,147.3K €,"Rio De Janeiro, Brazil","Rio De Janeiro, Brazil",208 in 23/02/2015
Henrique Cunha,BRA,30 Apr 1990,1.78,Left-Handed,,,,45.4K €,"Jau, Brazil","Jau, Brazil",
Lenny Hampel,AUT,24 Dec 1996,1.88,Right-Handed,38,626,6.6K €,65K €,"Vienna, Austria","Vienna, Austria",359 in 31/07/2017
Uladzimir Ignatik,BLR,14 Jul 1990,1.83,Right-Handed,130,332,6.1K €,569.2K €,"Belarus, Slovakia","Minsk, Belarus",129 in 19/06/2017
Gastão Elias,POR,24 Nov 1990,1.8,Right-Handed,87,429,5.3K €,989K €,"Lourinhã, Portugal","Lourinha, Portugal",57 in 24/10/2016
Marvin Möller,GER,18 Jan 1999,1.78,Right-Handed,42,600,,22.4K €,"Hamburg, Germany","Hamburg, Germany",
Evgeny Tyurnev,RUS,8 Apr 1997,,Right-Handed,89,423,4.4K €,106.5K €,,,337 in 17/12/2018
JC Aragone,USA,28 Jun 1995,1.78,Right-Handed,165,296,9.5K €,200.3K €,"Yorba Linda, CA, USA","Buenos Aires, Argentina",224 in 17/12/2018
Ergi Kirkin,TUR,27 Jan 1999,1.8,Right-Handed,63,513,1.9K €,31.5K €,"Ankara, Turkey","Ankara, Turkey",488 in 12/08/2019
Denis Kudla,USA,17 Aug 1992,1.8,Right-Handed,600,114,94.1K €,2.6M €,"Arlington, VA, USA","Kiev, Ukraine",53 in 23/05/2016
Karen Khachanov,RUS,21 May 1996,1.98,Right-Handed,2245,20,769.1K €,7.2M €,"Dubai, UAE","Moscow, Russia",8 in 15/07/2019
Tommy Robredo,ESP,1 May 1982,1.8,Right-Handed,255,224,23.8K €,11.2M €,"Sant Cugat del Valles, Spain","Hostalric, Spain",5 in 28/08/2006
Aidan Mchugh,GBR,9 Jul 2000,1.78,Right-Handed,52,557,3K €,41.4K €,"Glasgow, Scotland","Glasgow, Scotland",461 in 19/08/2019
Somdev Devvarman,IND,13 Feb 1985,1.8,Right-Handed,,,,1.2M €,"Charlottesville,VA, U.S.A.","Assam, India",
Great Britain,,,,,,,,,,,
Maxime Teixeira,FRA,18 Jan 1989,1.88,Right-Handed,,,,283.7K €,"Paris, France",,
Sanam Singh,IND,11 Jan 1988,1.75,Right-Handed,,,,112.6K €,"Chandigarh, India","Chandigarh, India",
Nicolás Kicker,ARG,16 Aug 1992,1.78,Right-Handed,,,,700.3K €,"Merlo, Argentina","Merlo, Argentina",
Jo-Wilfried Tsonga,FRA,17 Apr 1985,1.88,Right-Handed,1005,62,70.9K €,18.5M €,"Gingins, Switzerland","Le Mans, France",5 in 27/02/2012
Domagoj Biljesko,CRO,28 Jun 1997,,,7,1137,365 €,20.9K €,,,751 in 05/03/2018
Andres Artuñedo Martinavarro,ESP,14 Sep 1993,1.83,Right-Handed,68,497,,99.2K €,"Barcelona, Spain","Castellon de la Plana, Spain",293 in 03/03/2014
Arthur De Greef,BEL,27 Mar 1992,1.83,Right-Handed,129,334,5.8K €,350.4K €,"Brussels, Belgium","Brussels, Belgium",113 in 19/06/2017
Thomas Schoorel,,,,,,,,,,,
Daniel Dutra Da Silva,BRA,5 Jul 1988,,Left-Handed,51,561,2.7K €,165.9K €,Balneário Camboriú,"Sao Paulo, Brazil",231 in 18/05/2009
Nikolas Walterscheid-Tukic,,,,,,,,,,,
Jurgen Zopp,EST,29 Mar 1988,1.91,Right-Handed,51,558,,933.3K €,"Tallinn, Estonia","Tallinn, Estonia",71 in 10/09/2012
Zachary Švajda,USA,29 Nov 2002,1.75,Right-Handed,23,766,433 €,54.3K €,California,"La Jolla, CA, USA",912 in 09/12/2019
Lloyd Harris,RSA,24 Feb 1997,1.93,Right-Handed,793,87,288.7K €,894K €,"Cape Town, South Africa","Cape Town, South Africa",72 in 20/01/2020
Russia,,,,,,,,,,,
Stephan Fransen,NED,8 Aug 1988,,,,,,55K €,,,
Filippo Volandri,ITA,5 Sep 1981,1.83,Right-Handed,,,,3.3M €,"Livorno, Italy","Livorno, Italy",
Andrea Collarini,ARG,31 Jan 1992,1.85,Left-Handed,310,203,37.1K €,290.5K €,"Buenos Aires, Argentina","New York, NY, USA",186 in 09/06/2014
Francisco Bahamonde,ITA,7 Nov 1996,1.85,Right-Handed,,,,23.9K €,"Mendoza, Argentina","Mendoza, Argentina",
Myles Orton,,,,,,,,,,,
Ruben Gonzalez,,,,,,,,,,,
Miloslav Mecir,SVK,20 Jan 1988,1.96,Right-Handed,,,,190.3K €,"Bratislava, Slovak Republic","Prague, Czech Republic",
Alen Avidzba,RUS,24 Feb 2000,1.88,Right-Handed,80,453,1.7K €,44.2K €,France,"Sochi, Russia",380 in 29/04/2019
Keelan Oakley,,,,,,,,,,,
Andraz Bedene,,,,,,,,,,,
Dzmitry Zhyrmont,BLR,1 Mar 1989,1.88,Right-Handed,,,,167.8K €,"Minsk, Belarus","Minsk, Belarus",
Marek Jaloviec,CZE,21 Feb 1994,1.8,Left-Handed,7,1122,,70K €,"Silherovice, Czech Republic","Ostrava, Czech Republic",244 in 27/11/2017
Juan Pablo Varillas,PER,6 Oct 1995,1.83,Right-Handed,411,156,32.7K €,135.9K €,"Lima, Peru","Lima, Peru",135 in 02/03/2020
Francesco Forti,ITA,26 Jul 1999,1.88,Right-Handed,88,427,6.9K €,35K €,,"Cesena, Italy",393 in 22/07/2019
Artur Gusev,,,,,,,,,,,
Edoardo Tessaro,,,,,,,,,,,
Rafael Camilo,,,,,,,,,,,
Daniel Nguyen,USA,16 Oct 1990,1.73,Right-Handed,104,383,,172.9K €,"Oxnard, CA, USA","Long Beach, CA, USA",189 in 13/07/2015
Nicola Kuhn,ESP,20 Mar 2000,1.85,Right-Handed,219,251,17.6K €,197.6K €,"Torrevieja, Spain","Innsbruck, Austria",174 in 07/10/2019
Jarkko Nieminen,FIN,23 Jul 1981,1.85,Left-Handed,,,,6.5M €,"Masku, Finland","Masku, Finland",
Alessandro Giannessi,ITA,30 May 1990,1.85,Left-Handed,386,167,70.5K €,794.4K €,"La Spezia, Italy","La Spezia, Italy",84 in 24/07/2017
Fran Zvonimir Zgombić,CRO,24 Jan 1996,1.8,Right-Handed,,,,17.6K €,,"Zagreb, Croatia",
Daniel Garza,MEX,8 Apr 1985,,Right-Handed,,,,186.7K €,"Monterrey, Mexico","Monterrey, Mexico",
Finn Reynolds,,,,,,,,,,,
Antonio Veic,CRO,18 Feb 1988,1.8,Right-Handed,,,,467.1K €,"Zagreb, Croatia","Mali Losinj, Croatia",
Roberto Affonso Neto,,,,,,,,,,,
Thiemo de Bakker,NED,19 Sep 1988,1.93,Right-Handed,31,678,,1.5M €,"Gravenzande, The Netherlands","The Hague, The Netherlands",40 in 19/07/2010
Arthur Rinderknech,FRA,23 Jul 1995,1.96,Right-Handed,358,178,26.4K €,89.2K €,Paris,Gassin,156 in 31/08/2020
Yanki Erel,TUR,25 Sep 2000,,Left-Handed,13,945,721 €,8.5K €,,,922 in 09/03/2020
Federico Zeballos,BOL,30 May 1988,1.85,Right-Handed,50,567,1.5K €,102.2K €,"Santa Cruz, Bolivia","Santa Cruz, Bolivia",440 in 08/10/2018
Yusuke Watanuki,JPN,20 May 1990,1.68,Right-Handed,,,,39.8K €,Japan,"Saitama, Japan",
Luca Vanni,ITA,4 Jun 1985,1.98,Right-Handed,81,448,1.5K €,654.2K €,"Foiano della Chiana, Italy","Castel del Piano, Italy",100 in 11/05/2015
Lucas Pouille,FRA,23 Feb 1994,1.85,Right-Handed,880,70,1.3K €,6.2M €,"Dubai, UAE","Grande-Synthe, France",10 in 19/03/2018
Artem Dubrivnyy,RUS,31 Jan 1999,1.83,Right-Handed,82,445,1.7K €,44.8K €,Russian,Taganrog,395 in 18/11/2019
Victor Baluda,RUS,30 Sep 1992,,,,,,96.3K €,,,
Carlos Garcia-Villanueva,,,,,,,,,,,
Max Purcell,AUS,3 Apr 1998,1.85,Right-Handed,238,237,58.1K €,449.1K €,"Sydney, Australia","Sydney, Australia",204 in 10/02/2020
Johan Tatlot,FRA,26 Mar 1996,1.8,Right-Handed,73,472,2.7K €,110.9K €,"Paris, France","Schoelcher, France",226 in 17/09/2018
Adam El Mihdawy,USA,9 Aug 1989,,,47,579,938 €,135.7K €,,,281 in 27/04/2015
Divij Sharan,,,,,,,,,,,
Andrei Stefan Apostol,ROU,25 Feb 1995,,Right-Handed,,,,23.7K €,Romania,"Bucharest, Romania",
Alastair Gray,GBR,22 Jun 1998,1.88,Right-Handed,7,1102,,11K €,England,"Twickenham, England",986 in 30/10/2017
Duje Kekez,CRO,30 Mar 1993,,Right-Handed,17,858,345 €,55.8K €,,,422 in 03/08/2015
Peter Luczak,,,,,,,,,,,
Hyeon Chung,KOR,19 May 1996,1.88,Right-Handed,391,161,4.6K €,3.1M €,"Suwon, South Korea","Suwon, South Korea",19 in 02/04/2018
Frederico Gil,POR,24 Mar 1985,1.73,Right-Handed,66,499,,1.2M €,"Sintra, Portugal","Lisboa, Portugal",62 in 25/04/2011
Daniel Valent,,,,,,,,,,,
Hubert Hurkacz,POL,11 Feb 1997,1.96,Right-Handed,1518,34,480.4K €,2M €,"Wroclaw, Poland","Wroclaw, Poland",28 in 03/02/2020
Nikoloz Basilashvili,GEO,23 Feb 1992,1.85,Right-Handed,1395,40,398.9K €,4.7M €,"Tbilisi, Georgia","Tbilisi, Georgia",16 in 27/05/2019
Sandro Kopp,AUT,26 May 2000,,Right-Handed,21,796,2.5K €,12.5K €,,,777 in 31/08/2020
Quentin Robert,FRA,24 Aug 1994,1.88,Right-Handed,73,475,2.4K €,32.2K €,Dijon,Saint Denis Reunion,433 in 10/02/2020
Francisco Cabral,POR,8 Jan 1997,,Right-Handed,8,1089,390 €,30.9K €,,,862 in 05/03/2018
Hans Hach Verdugo,,,,,,,,,,,
Louk Sorensen,IRL,7 Jan 1985,1.75,Right-Handed,,,,165.9K €,"Stuttgart, Germany",,
Mirza Bašić,BIH,12 Jul 1991,1.88,Right-Handed,134,325,2.9K €,938.2K €,"Sarajevo, Bosnia-Herzegovina","Sarajevo, Bosnia-Herzegovina",74 in 19/02/2018
Lloyd Glasspool,GBR,19 Nov 1993,1.91,Right-Handed,73,473,1.1K €,120K €,Birmingham,Redditch,282 in 25/07/2016
Danilo Petrović,SRB,24 Jan 1992,2.03,Right-Handed,458,141,32.8K €,239K €,"Belgrade,Serbia","Belgrade, Serbia",155 in 17/02/2020
Dominic Thiem,AUT,3 Sep 1993,1.85,Right-Handed,9125,3,4M €,22.4M €,"Lichtenwörth, Austria","Wiener Neustadt, Austria",3 in 02/03/2020
Florian Fallert,GER,25 May 1992,1.83,Right-Handed,,,,44.9K €,"Lichtenstein, Germany",Tübingen,
Dmitry Tursunov,RUS,12 Dec 1982,1.85,Right-Handed,,,,4.9M €,"Moscow, Russia","Moscow, Russia",
Preston Brown,,,,,,,,,,,
Eric Vehovec,,,,,,,,,,,
Alexei Popyrin,AUS,5 Aug 1999,1.96,Right-Handed,623,112,140.6K €,870.1K €,"Sydney, Australia","Sydney, Australia",87 in 29/07/2019
Andre Gaspar Murta,,8 Aug 1994,1.93,Right-Handed,3,1372,,40.8K €,,"Faro, Portugal",480 in 19/09/2016
David Marrero,,,,,,,,,,,
Benjamin Balleret,MON,15 Jan 1983,1.83,Right-Handed,,,,302.8K €,"Monte Carlo, Monaco","Monte Carlo, Monaco",
Adam Pavlásek,CZE,8 Oct 1994,1.85,Right-Handed,98,402,2.9K €,558.2K €,"Bilovec, Czech Republic","Bilovec, Czech Republic",72 in 09/01/2017
Zhaoyi Cao,CHN,5 Dec 1993,1.85,Right-Handed,,,,14.9K €,TIANJIN,HEILONGJIANG,
Jeremy Beale,AUS,4 Oct 1994,1.93,Left-Handed,,,433 €,34.9K €,"Melbourne, Australia","Preston, Australia",
Grega Žemlja,SLO,29 Sep 1986,1.83,Right-Handed,,,,1M €,"Kranj, Slovenia","Jesenice, Slovenia",
Facundo Bagnis,ARG,27 Feb 1990,1.83,Left-Handed,528,126,66.8K €,1.2M €,"Buenos Aires, Argentina","Rosario, Argentina",55 in 14/11/2016
Christoffer Solberg,SWE,1 Feb 1994,1.75,Right-Handed,8,1078,345 €,15.1K €,"Stockholm, Sweden","Stockholm, Sweden",830 in 22/06/2015
Alexandre Sidorenko,FRA,18 Feb 1988,1.85,Right-Handed,,,,410.4K €,"Paris, France","St. Petersburg, Russia",
Ryan Harrison,USA,7 May 1992,1.85,Right-Handed,73,470,12.9K €,4M €,"Austin, TX, USA","Shreveport, LA, USA",40 in 17/07/2017
Francis Tiafoe,USA,20 Jan 1998,1.88,Right-Handed,1030,59,330.4K €,3.1M €,"Orlando, FL, USA","Hyattsville, MD, USA",29 in 11/02/2019
Altug Celikbilek,TUR,7 Sep 1996,1.83,Right-Handed,139,318,1.7K €,88.7K €,"Istanbul, Turkey","Antalya, Turkey",320 in 03/02/2020
Mousa Shanan Zayed,,,,,,,,,,,
Maxim Kravtsov,,,,,,,,,,,
Dino Marcan,,,,,,,,,,,
Thiago Seyboth Wild,BRA,10 Mar 2000,1.85,Right-Handed,586,115,179.9K €,256.3K €,Rio de Janeiro,"Marechal Candido Rondon, BRA",106 in 14/09/2020
Ivan Dodig,CRO,2 Jan 1985,1.83,Right-Handed,,,,5.6M €,"Freeport, Bahamas","Medjugorje, Bosnia-Herzegovina",
Robert Kendrick,,,,,,,,,,,
Evan King,USA,25 Mar 1992,1.85,Left-Handed,89,424,3K €,321.8K €,"Chicago, IL, USA","Chicago, IL, USA",185 in 23/04/2018
