name,nationality,birth_date,height,hand,rank,position,prize_money_year,prize_money_total,residence,birthplace,best_rank
Garrett Johns,USA,17 Dec 2000,1.8,Right-Handed,13,927,,4K €,"Atlanta, Ga",Atlanta Ga,1126 in 17/02/2020
Dekel Bar,ISR,15 Mar 1993,,,,,,39.9K €,,,
Matteo Trevisan,ITA,13 Aug 1989,1.83,Right-Handed,,,,103.5K €,"Florence, Italy","Florence, Italy",
Samuel Monette,CAN,14 Jan 1994,1.8,Left-Handed,,,,29.2K €,"Repentigny, Canada","Montreal, Canada",
Simeon Rossier,,,,,,,,,,,
Colin Sinclair,NMA,19 Dec 1994,1.88,Right-Handed,25,743,888 €,27.2K €,"Brisbane, Australia",Saipan,410 in 05/08/2019
Jesper De Jong,NED,31 May 2000,1.8,Right-Handed,154,301,10.3K €,32.8K €,"Hoofddorp, The Netherlands",Haarlem,349 in 28/09/2020
Di Wu,CHN,14 Sep 1991,1.73,Right-Handed,138,320,1.2K €,700.2K €,"Shanghai, China","Wuhan, China",140 in 25/04/2016
Yannik Reuter,BEL,6 Mar 1991,,Right-Handed,2,1484,,143.6K €,,,195 in 31/10/2016
Aleksandr Nedovyesov,KAZ,15 Feb 1987,1.93,Right-Handed,131,330,1.5K €,811K €,"Astana, Kazakhstan","Alushta, Ukraine",72 in 21/04/2014
Antoine Cornut-Chauvinc,FRA,7 Jul 2000,1.88,Right-Handed,73,476,3.7K €,50.3K €,Saint didier au mont d'or,Villeurbanne,408 in 17/06/2019
Ivan Nedelko,RUS,12 May 1986,1.85,Right-Handed,123,345,46.4K €,252.8K €,"St. Petersburg, Russia","St. Petersburg, Russia",235 in 23/07/2018
Matthew Ebden,AUS,26 Nov 1987,1.88,Right-Handed,141,315,16.2K €,2.8M €,"Perth, Australia","Durban, South Africa",39 in 22/10/2018
Denys Molchanov,UKR,16 May 1987,1.91,Right-Handed,,,,464K €,"Kiev, Ukraine","Chisinau, Moldova",
Pedro Sakamoto,BRA,29 Jun 1993,1.78,Right-Handed,171,290,8.6K €,101.4K €,"Rio de Janeiro, Brazil","Guarulhos, Brazil",284 in 24/02/2020
Martin Fischer,AUT,21 Jul 1986,1.8,Right-Handed,,,,534.1K €,"Wolfurt, Austria","Dornbirn, Austria",
Hamad Abbas Janahi,,,,,,,,,,,
Yassine Idmbarek,,,,,,,,,,,
Federico Coria,ARG,9 Mar 1992,1.8,Right-Handed,775,91,332.2K €,554.7K €,"Buenos Aires, Argentina","Rosario, Argentina",86 in 12/10/2020
Sebastian Ofner,AUT,12 May 1996,1.91,Right-Handed,402,158,77.4K €,480.3K €,"Sankt Marein, Austria","Bruck an der Mur, Austria",126 in 06/05/2019
David Pichler,AUT,19 Feb 1996,1.78,Right-Handed,71,484,2.3K €,66.4K €,"Wien, Austria","Eisenstadt, Austria",390 in 16/10/2017
